`i_row_index`, `i_id`, `i_name`, `i_dc_host_status`, `i_lat`, `i_lon`
1,'i_0001','Amherst College',Y, '0.0', '0.0'
2,'i_0002',"'University of Michigan, Ann Arbor'",Y, '0.0', '0.0'
3,'i_0003','Harvard University',N, '0.0', '0.0'
4,'i_0004','Case Western Reserve University',N, '0.0', '0.0'
5,'i_0005','Stanford University',N, '0.0', '0.0'
6,'i_0006',"'University of California, Los Angeles'",Y, '0.0', '0.0'
7,'i_0007',"'University of Maryland, College Park'",N, '0.0', '0.0'
8,'i_0008','Centre College',N, '0.0', '0.0'
9,'i_0009','Sewanee„University of the South',N, '0.0', '0.0'
10,'i_0010',"'University of California, Berkeley'",N, '0.0', '0.0'
11,'i_0011','Franklin and Marshall College',Y, '0.0', '0.0'
12,'i_0012',"'Indiana University, Bloomington'",Y, '0.0', '0.0'
13,'i_0013','College of the Holy Cross',N, '0.0', '0.0'
14,'i_0014','Lafayette College',N, '0.0', '0.0'
15,'i_0015','Trinity College',N, '0.0', '0.0'
16,'i_0016','Yale University',Y, '0.0', '0.0'
17,'i_0017','Haverford College',N, '0.0', '0.0'
18,'i_0018','Middlebury College',Y, '0.0', '0.0'
19,'i_0019','Rice University',Y, '0.0', '0.0'
20,'i_0020','California Institute of Technology',Y, '0.0', '0.0'
21,'i_0021','Williams College',Y, '0.0', '0.0'
22,'i_0022','Southern Methodist University',N, '0.0', '0.0'
23,'i_0023','Vanderbilt University',N, '0.0', '0.0'
24,'i_0024','Colby College',N, '0.0', '0.0'
25,'i_0025','Carnegie Mellon University',N, '0.0', '0.0'
26,'i_0026','Princeton University',Y, '0.0', '0.0'
27,'i_0027','Northwestern University',N, '0.0', '0.0'
28,'i_0028','Whitman College',N, '0.0', '0.0'
29,'i_0029','Brigham Young University',N, '0.0', '0.0'
30,'i_0030','Washington University in Saint Louis',Y, '0.0', '0.0'
31,'i_0031','Grinnell College',Y, '0.0', '0.0'
32,'i_0032','Wheaton College',N, '0.0', '0.0'
33,'i_0033','Carleton College',N, '0.0', '0.0'
34,'i_0034','University of Notre Dame',N, '0.0', '0.0'
35,'i_0035','Boston College',N, '0.0', '0.0'
36,'i_0036','Pepperdine University',Y, '0.0', '0.0'
37,'i_0037',"'University of California, Davis'",N, '0.0', '0.0'
38,'i_0038','Harvey Mudd College',N, '0.0', '0.0'
39,'i_0039','Dartmouth College',N, '0.0', '0.0'
40,'i_0040','Davidson College',Y, '0.0', '0.0'
41,'i_0041','New York University',N, '0.0', '0.0'
42,'i_0042','United States Naval Academy',Y, '0.0', '0.0'
43,'i_0043',"'University of Illinois, Urbana-Champaign'",Y, '0.0', '0.0'
44,'i_0044','University of Georgia',Y, '0.0', '0.0'
45,'i_0045','Johns Hopkins University',N, '0.0', '0.0'
46,'i_0046','United States Coast Guard Academy',Y, '0.0', '0.0'
47,'i_0047',"'University of Wisconsin, Madison'",N, '0.0', '0.0'
48,'i_0048','Georgetown University',N, '0.0', '0.0'
49,'i_0049','Smith College',Y, '0.0', '0.0'
50,'i_0050','College of William and Mary',N, '0.0', '0.0'
51,'i_0051','Scripps College',N, '0.0', '0.0'
52,'i_0052','Boston University',Y, '0.0', '0.0'
53,'i_0053','Barnard College',N, '0.0', '0.0'
54,'i_0054','Hamilton College',Y, '0.0', '0.0'
55,'i_0055','University of Florida',Y, '0.0', '0.0'
56,'i_0056',"'University of Texas, Austin'",Y, '0.0', '0.0'
57,'i_0057','Villanova University',Y, '0.0', '0.0'
58,'i_0058','University of Virginia',N, '0.0', '0.0'
59,'i_0059','Oberlin College',Y, '0.0', '0.0'
60,'i_0060','University of Washington',N, '0.0', '0.0'
61,'i_0061','George Washington University',Y, '0.0', '0.0'
62,'i_0062','Wesleyan University',Y, '0.0', '0.0'
63,'i_0063','Columbia University',N, '0.0', '0.0'
64,'i_0064','Duke University',Y, '0.0', '0.0'
