 `pub_row_index`, `pub_id`, `pub_citation`, `pub_title`, `pub_type`, `pub_link`, `pub_year`, `cohort_year`, `contributor_fids`, `pub_display`,,,,,,,,,,,,
1, 'pub_00001',"Maecenas tempor massa ac leo aliquet, et luctus ligula dictum.","Integer at arcu auctor, malesuada lectus ut, porta orci.","Phasellus ac tellus dictum, consectetur felis a, auctor erat.","Integer at arcu auctor, malesuada lectus ut, porta orci.","Phasellus ac tellus dictum, consectetur felis a, auctor erat.","Integer at arcu auctor, malesuada lectus ut, porta orci.","Phasellus ac tellus dictum, consectetur felis a, auctor erat.","Integer at arcu auctor, malesuada lectus ut, porta orci.","Phasellus ac tellus dictum, consectetur felis a, auctor erat.","Integer at arcu auctor, malesuada lectus ut, porta orci.","Phasellus ac tellus dictum, consectetur felis a, auctor erat.","Integer at arcu auctor, malesuada lectus ut, porta orci.","Phasellus ac tellus dictum, consectetur felis a, auctor erat.","Integer at arcu auctor, malesuada lectus ut, porta orci.","Phasellus ac tellus dictum, consectetur felis a, auctor erat.","Integer at arcu auctor, malesuada lectus ut, porta orci.","Phasellus ac tellus dictum, consectetur felis a, auctor erat.","Integer at arcu auctor, malesuada lectus ut, porta orci.","Phasellus ac tellus dictum, consectetur felis a, auctor erat.","Integer at arcu auctor, malesuada lectus ut, porta orci."
2, 'pub_00002',Sed pulvinar orci in enim suscipit suscipit.,"Nunc tempus ligula quis purus auctor, at scelerisque ex aliquet.",Sed pulvinar orci in enim suscipit suscipit.,"Nunc tempus ligula quis purus auctor, at scelerisque ex aliquet.",Sed pulvinar orci in enim suscipit suscipit.,"Nunc tempus ligula quis purus auctor, at scelerisque ex aliquet.",Sed pulvinar orci in enim suscipit suscipit.,"Nunc tempus ligula quis purus auctor, at scelerisque ex aliquet.",Sed pulvinar orci in enim suscipit suscipit.,"Nunc tempus ligula quis purus auctor, at scelerisque ex aliquet.",Sed pulvinar orci in enim suscipit suscipit.,"Nunc tempus ligula quis purus auctor, at scelerisque ex aliquet.",Sed pulvinar orci in enim suscipit suscipit.,"Nunc tempus ligula quis purus auctor, at scelerisque ex aliquet.",Sed pulvinar orci in enim suscipit suscipit.,"Nunc tempus ligula quis purus auctor, at scelerisque ex aliquet.",Sed pulvinar orci in enim suscipit suscipit.,"Nunc tempus ligula quis purus auctor, at scelerisque ex aliquet.",Sed pulvinar orci in enim suscipit suscipit.,"Nunc tempus ligula quis purus auctor, at scelerisque ex aliquet."
3, 'pub_00003',Donec finibus augue et posuere tincidunt.,Curabitur ultricies magna ut quam congue consectetur.,Donec finibus augue et posuere tincidunt.,Curabitur ultricies magna ut quam congue consectetur.,Donec finibus augue et posuere tincidunt.,Curabitur ultricies magna ut quam congue consectetur.,Donec finibus augue et posuere tincidunt.,Curabitur ultricies magna ut quam congue consectetur.,Donec finibus augue et posuere tincidunt.,Curabitur ultricies magna ut quam congue consectetur.,Donec finibus augue et posuere tincidunt.,Curabitur ultricies magna ut quam congue consectetur.,Donec finibus augue et posuere tincidunt.,Curabitur ultricies magna ut quam congue consectetur.,Donec finibus augue et posuere tincidunt.,Curabitur ultricies magna ut quam congue consectetur.,Donec finibus augue et posuere tincidunt.,Curabitur ultricies magna ut quam congue consectetur.,Donec finibus augue et posuere tincidunt.,Curabitur ultricies magna ut quam congue consectetur.
4, 'pub_00004',"Maecenas tempus nisl efficitur, mattis diam a, egestas purus.","Duis vehicula nisi vitae nibh tincidunt, vulputate iaculis orci ullamcorper.","Maecenas tempus nisl efficitur, mattis diam a, egestas purus.","Duis vehicula nisi vitae nibh tincidunt, vulputate iaculis orci ullamcorper.","Maecenas tempus nisl efficitur, mattis diam a, egestas purus.","Duis vehicula nisi vitae nibh tincidunt, vulputate iaculis orci ullamcorper.","Maecenas tempus nisl efficitur, mattis diam a, egestas purus.","Duis vehicula nisi vitae nibh tincidunt, vulputate iaculis orci ullamcorper.","Maecenas tempus nisl efficitur, mattis diam a, egestas purus.","Duis vehicula nisi vitae nibh tincidunt, vulputate iaculis orci ullamcorper.","Maecenas tempus nisl efficitur, mattis diam a, egestas purus.","Duis vehicula nisi vitae nibh tincidunt, vulputate iaculis orci ullamcorper.","Maecenas tempus nisl efficitur, mattis diam a, egestas purus.","Duis vehicula nisi vitae nibh tincidunt, vulputate iaculis orci ullamcorper.","Maecenas tempus nisl efficitur, mattis diam a, egestas purus.","Duis vehicula nisi vitae nibh tincidunt, vulputate iaculis orci ullamcorper.","Maecenas tempus nisl efficitur, mattis diam a, egestas purus.","Duis vehicula nisi vitae nibh tincidunt, vulputate iaculis orci ullamcorper.","Maecenas tempus nisl efficitur, mattis diam a, egestas purus.","Duis vehicula nisi vitae nibh tincidunt, vulputate iaculis orci ullamcorper."
5, 'pub_00005',Vestibulum vel ante sagittis magna pellentesque condimentum.,Nunc tristique tortor vitae condimentum placerat.,Vestibulum vel ante sagittis magna pellentesque condimentum.,Nunc tristique tortor vitae condimentum placerat.,Vestibulum vel ante sagittis magna pellentesque condimentum.,Nunc tristique tortor vitae condimentum placerat.,Vestibulum vel ante sagittis magna pellentesque condimentum.,Nunc tristique tortor vitae condimentum placerat.,Vestibulum vel ante sagittis magna pellentesque condimentum.,Nunc tristique tortor vitae condimentum placerat.,Vestibulum vel ante sagittis magna pellentesque condimentum.,Nunc tristique tortor vitae condimentum placerat.,Vestibulum vel ante sagittis magna pellentesque condimentum.,Nunc tristique tortor vitae condimentum placerat.,Vestibulum vel ante sagittis magna pellentesque condimentum.,Nunc tristique tortor vitae condimentum placerat.,Vestibulum vel ante sagittis magna pellentesque condimentum.,Nunc tristique tortor vitae condimentum placerat.,Vestibulum vel ante sagittis magna pellentesque condimentum.,Nunc tristique tortor vitae condimentum placerat.
6, 'pub_00006',Nam pharetra ex eget pellentesque semper.,Quisque suscipit nunc a augue varius elementum.,Nam pharetra ex eget pellentesque semper.,Quisque suscipit nunc a augue varius elementum.,Nam pharetra ex eget pellentesque semper.,Quisque suscipit nunc a augue varius elementum.,Nam pharetra ex eget pellentesque semper.,Quisque suscipit nunc a augue varius elementum.,Nam pharetra ex eget pellentesque semper.,Quisque suscipit nunc a augue varius elementum.,Nam pharetra ex eget pellentesque semper.,Quisque suscipit nunc a augue varius elementum.,Nam pharetra ex eget pellentesque semper.,Quisque suscipit nunc a augue varius elementum.,Nam pharetra ex eget pellentesque semper.,Quisque suscipit nunc a augue varius elementum.,Nam pharetra ex eget pellentesque semper.,Quisque suscipit nunc a augue varius elementum.,Nam pharetra ex eget pellentesque semper.,Quisque suscipit nunc a augue varius elementum.
7, 'pub_00007',Nullam at tellus ac lorem convallis vehicula.,Proin ac tortor sed neque feugiat hendrerit ac consectetur urna.,Nullam at tellus ac lorem convallis vehicula.,Proin ac tortor sed neque feugiat hendrerit ac consectetur urna.,Nullam at tellus ac lorem convallis vehicula.,Proin ac tortor sed neque feugiat hendrerit ac consectetur urna.,Nullam at tellus ac lorem convallis vehicula.,Proin ac tortor sed neque feugiat hendrerit ac consectetur urna.,Nullam at tellus ac lorem convallis vehicula.,Proin ac tortor sed neque feugiat hendrerit ac consectetur urna.,Nullam at tellus ac lorem convallis vehicula.,Proin ac tortor sed neque feugiat hendrerit ac consectetur urna.,Nullam at tellus ac lorem convallis vehicula.,Proin ac tortor sed neque feugiat hendrerit ac consectetur urna.,Nullam at tellus ac lorem convallis vehicula.,Proin ac tortor sed neque feugiat hendrerit ac consectetur urna.,Nullam at tellus ac lorem convallis vehicula.,Proin ac tortor sed neque feugiat hendrerit ac consectetur urna.,Nullam at tellus ac lorem convallis vehicula.,Proin ac tortor sed neque feugiat hendrerit ac consectetur urna.
8, 'pub_00008',Phasellus a augue ut nibh molestie fermentum in eget eros.,Sed vel lectus ut arcu aliquam fringilla.,"Maecenas tempor massa ac leo aliquet, et luctus ligula dictum.",Sed vel lectus ut arcu aliquam fringilla.,"Maecenas tempor massa ac leo aliquet, et luctus ligula dictum.",Sed vel lectus ut arcu aliquam fringilla.,"Maecenas tempor massa ac leo aliquet, et luctus ligula dictum.",Sed vel lectus ut arcu aliquam fringilla.,"Maecenas tempor massa ac leo aliquet, et luctus ligula dictum.",Sed vel lectus ut arcu aliquam fringilla.,"Maecenas tempor massa ac leo aliquet, et luctus ligula dictum.",Sed vel lectus ut arcu aliquam fringilla.,"Maecenas tempor massa ac leo aliquet, et luctus ligula dictum.",Sed vel lectus ut arcu aliquam fringilla.,"Maecenas tempor massa ac leo aliquet, et luctus ligula dictum.",Sed vel lectus ut arcu aliquam fringilla.,"Maecenas tempor massa ac leo aliquet, et luctus ligula dictum.",Sed vel lectus ut arcu aliquam fringilla.,"Maecenas tempor massa ac leo aliquet, et luctus ligula dictum.",Sed vel lectus ut arcu aliquam fringilla.
9, 'pub_00009',"Vestibulum mattis dui ut urna mattis, in interdum dui bibendum.",Curabitur cursus elit in lobortis accumsan.,"Vestibulum mattis dui ut urna mattis, in interdum dui bibendum.",Curabitur cursus elit in lobortis accumsan.,"Vestibulum mattis dui ut urna mattis, in interdum dui bibendum.",Curabitur cursus elit in lobortis accumsan.,"Vestibulum mattis dui ut urna mattis, in interdum dui bibendum.",Curabitur cursus elit in lobortis accumsan.,"Vestibulum mattis dui ut urna mattis, in interdum dui bibendum.",Curabitur cursus elit in lobortis accumsan.,"Vestibulum mattis dui ut urna mattis, in interdum dui bibendum.",Curabitur cursus elit in lobortis accumsan.,"Vestibulum mattis dui ut urna mattis, in interdum dui bibendum.",Curabitur cursus elit in lobortis accumsan.,"Vestibulum mattis dui ut urna mattis, in interdum dui bibendum.",Curabitur cursus elit in lobortis accumsan.,"Vestibulum mattis dui ut urna mattis, in interdum dui bibendum.",Curabitur cursus elit in lobortis accumsan.,"Vestibulum mattis dui ut urna mattis, in interdum dui bibendum.",Curabitur cursus elit in lobortis accumsan.
10, 'pub_00010',"Aliquam in augue eleifend, blandit nisi eget, feugiat neque.","Proin a erat posuere, imperdiet dui ut, egestas mauris.","Aliquam in augue eleifend, blandit nisi eget, feugiat neque.","Proin a erat posuere, imperdiet dui ut, egestas mauris.","Aliquam in augue eleifend, blandit nisi eget, feugiat neque.","Proin a erat posuere, imperdiet dui ut, egestas mauris.","Aliquam in augue eleifend, blandit nisi eget, feugiat neque.","Proin a erat posuere, imperdiet dui ut, egestas mauris.","Aliquam in augue eleifend, blandit nisi eget, feugiat neque.","Proin a erat posuere, imperdiet dui ut, egestas mauris.","Aliquam in augue eleifend, blandit nisi eget, feugiat neque.","Proin a erat posuere, imperdiet dui ut, egestas mauris.","Aliquam in augue eleifend, blandit nisi eget, feugiat neque.","Proin a erat posuere, imperdiet dui ut, egestas mauris.","Aliquam in augue eleifend, blandit nisi eget, feugiat neque.","Proin a erat posuere, imperdiet dui ut, egestas mauris.","Aliquam in augue eleifend, blandit nisi eget, feugiat neque.","Proin a erat posuere, imperdiet dui ut, egestas mauris.","Aliquam in augue eleifend, blandit nisi eget, feugiat neque.","Proin a erat posuere, imperdiet dui ut, egestas mauris."
